LAD22CD,LAD22NM,WD22CD,WD22NM,Rank,IMD_Rank,IMD,Teenage Deliveries,Children in Care,Child Protection Plans,Peristent Absenteeism from School,EYFS Good Level of Development,NEET,Long-term unemployment,"Social, emotional and mental health needs at school",Self-harm (PHE),Children in Need,School Exclusions,GCSEs A-Cs - 5 or more,Perceptions about Police - Feel the police do a good job in the local area​,Perceptions about Police - Agree the police treat everyone fairly regardless of who they are​,Perceptions about Police - Agree that the MPS is an organisation they can trust,Perceptions about Crime - Feel that gangs are a problem in the local area​,Perceptions about Crime - Feel that gun crime is a problem in the local area​,Perceptions about Crime - Feel that knife crime is a problem in the local area,Perceptions about Local Area - Agree local area is place where people from different backgrounds get on well​,IDACI,Violence with Injury,Violence without Injury,Ambulance callouts to Youth Assault,LAS call outs to alcohol-related incidents,LAS call outs to drug overdoses,Ambulance callouts to Assault,Gun Crime,Discharge from Lethal Barrels,Knife Crime,Knife Crime with Injury,Rape,Other Sexual Offences,Homicide,Violence with Injury,Violence without Injury,Domestic Abuse Incidents,Domestic Abuse Offences,Domestic Abuse (Violence with Injury),Serious Youth Violence victims,Knife Crime (victims U25),Total
E09000019,Islington,E05013703,Finsbury Park,1,7,12,,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,28
E09000014,Haringey,E05013596,Northumberland Park,2,1,12,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,27
E09000012,Hackney,E05009376,Homerton,3,7,12,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26
E09000022,Lambeth,E05014096,Brixton North,3,3,12,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,26
E09000022,Lambeth,E05014098,Brixton Windrush,3,3,12,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,26
E09000014,Haringey,E05013595,Noel Park,3,1,12,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
E09000008,Croydon,E05011468,Fairfield,3,9,12,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,26
E09000010,Enfield,E05013679,Edmonton Green,8,3,12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,8,42,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,25
E09000014,Haringey,E05013599,South Tottenham,8,3,12,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,25
